Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Book Appointment Check,Chrome 128.0.0.0,,,20-09-2024 10:17:22,20-09-2024 10:17:39,16.788s,PASSED
,,,,,,,
Test Cases/Book a Appointment,Chrome 128.0.0.0,,,20-09-2024 10:17:23,20-09-2024 10:17:39,16.701s,PASSED
"openBrowser("""")",Chrome 128.0.0.0,,,20-09-2024 10:17:23,20-09-2024 10:17:24,1.198s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 128.0.0.0,,,20-09-2024 10:17:24,20-09-2024 10:17:27,2.787s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 128.0.0.0,,,20-09-2024 10:17:27,20-09-2024 10:17:28,0.912s,PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Username_username""), ""John Doe"")",Chrome 128.0.0.0,,,20-09-2024 10:17:28,20-09-2024 10:17:29,1.081s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Password_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Chrome 128.0.0.0,,,20-09-2024 10:17:29,20-09-2024 10:17:29,0.536s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_CURA Healthcare Service/button_Login""), 0)",Chrome 128.0.0.0,,,20-09-2024 10:17:29,20-09-2024 10:17:29,0.294s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/button_Login""))",Chrome 128.0.0.0,,,20-09-2024 10:17:29,20-09-2024 10:17:31,1.127s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_CURA Healthcare Service/select_Tokyo CURA Healthcare Center        _5b4107""), ""Hongkong CURA Healthcare Center"", true)",Chrome 128.0.0.0,,,20-09-2024 10:17:31,20-09-2024 10:17:32,1.306s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Apply for hospital readmission_hospit_63901f""))",Chrome 128.0.0.0,,,20-09-2024 10:17:32,20-09-2024 10:17:32,0.476s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/label_Medicaid""))",Chrome 128.0.0.0,,,20-09-2024 10:17:32,20-09-2024 10:17:33,0.407s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/span_Visit Date (Required)_glyphicon glyphi_cada34""))",Chrome 128.0.0.0,,,20-09-2024 10:17:33,20-09-2024 10:17:33,0.409s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/td_18""))",Chrome 128.0.0.0,,,20-09-2024 10:17:33,20-09-2024 10:17:34,0.637s,PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service/textarea_Comment_comment""), ""Appointment"")",Chrome 128.0.0.0,,,20-09-2024 10:17:34,20-09-2024 10:17:35,0.797s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_CURA Healthcare Service/button_Book Appointment""), 0)",Chrome 128.0.0.0,,,20-09-2024 10:17:35,20-09-2024 10:17:35,0.260s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/button_Book Appointment""))",Chrome 128.0.0.0,,,20-09-2024 10:17:35,20-09-2024 10:17:36,0.600s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/appointment.php#summary"")",Chrome 128.0.0.0,,,20-09-2024 10:17:36,20-09-2024 10:17:36,0.134s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/div_Hongkong CURA Healthcare Center""))",Chrome 128.0.0.0,,,20-09-2024 10:17:36,20-09-2024 10:17:36,0.530s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_CURA Healthcare Service/p_Hongkong CURA Healthcare Center""), ""Hongkong CURA Healthcare Center"")",Chrome 128.0.0.0,,,20-09-2024 10:17:36,20-09-2024 10:17:36,0.323s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/a_Go to Homepage""))",Chrome 128.0.0.0,,,20-09-2024 10:17:36,20-09-2024 10:17:37,0.804s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/i_CURA Healthcare_fa fa-bars""))",Chrome 128.0.0.0,,,20-09-2024 10:17:37,20-09-2024 10:17:38,0.431s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_CURA Healthcare Service/a_CURA Healthcare_menu-toggle""), 0)",Chrome 128.0.0.0,,,20-09-2024 10:17:38,20-09-2024 10:17:38,0.340s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/a_Logout""))",Chrome 128.0.0.0,,,20-09-2024 10:17:38,20-09-2024 10:17:39,1.053s,PASSED
closeBrowser(),Chrome 128.0.0.0,,,20-09-2024 10:17:39,20-09-2024 10:17:39,0.124s,PASSED
