Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Excel,Chrome 129.0.0.0,,,04-10-2024 08:40:46,04-10-2024 08:41:23,37.304s,PASSED
,,,,,,,
Test Cases/Excel,Chrome 129.0.0.0,,,04-10-2024 08:40:46,04-10-2024 08:40:59,12.588s,PASSED
"openBrowser("""")",Chrome 129.0.0.0,,,04-10-2024 08:40:46,04-10-2024 08:40:48,1.236s,PASSED
"navigateToUrl(""https://practice.expandtesting.com/inputs"")",Chrome 129.0.0.0,,,04-10-2024 08:40:48,04-10-2024 08:40:52,4.946s,PASSED
"click(findTestObject(""Object Repository/Page_Web inputs page for Automation Testing_33fec6/input_Input Number_input-number""), STOP_ON_FAILURE)",Chrome 129.0.0.0,,,04-10-2024 08:40:52,04-10-2024 08:40:54,1.592s,PASSED
"setText(findTestObject(""Object Repository/Page_Web inputs page for Automation Testing_33fec6/input_Input Number_input-number""), number)",Chrome 129.0.0.0,,,04-10-2024 08:40:54,04-10-2024 08:40:55,0.893s,PASSED
"click(findTestObject(""Page_Web inputs page for Automation Testing_33fec6/input_Input Text_input-text""))",Chrome 129.0.0.0,,,04-10-2024 08:40:55,04-10-2024 08:40:55,0.518s,PASSED
"setText(findTestObject(""Object Repository/Page_Web inputs page for Automation Testing_33fec6/input_Input Text_input-text""), text)",Chrome 129.0.0.0,,,04-10-2024 08:40:56,04-10-2024 08:40:56,0.983s,PASSED
"click(findTestObject(""Page_Web inputs page for Automation Testing_33fec6/input_Input Password_input-password""))",Chrome 129.0.0.0,,,04-10-2024 08:40:56,04-10-2024 08:40:57,0.457s,PASSED
"setText(findTestObject(""Object Repository/Page_Web inputs page for Automation Testing_33fec6/input_Input Password_input-password""), password)",Chrome 129.0.0.0,,,04-10-2024 08:40:57,04-10-2024 08:40:58,0.830s,PASSED
"click(findTestObject(""Object Repository/Page_Web inputs page for Automation Testing_33fec6/button_Display Inputs""))",Chrome 129.0.0.0,,,04-10-2024 08:40:58,04-10-2024 08:40:58,0.362s,PASSED
"click(findTestObject(""Object Repository/Page_Web inputs page for Automation Testing_33fec6/button_Clear Inputs""))",Chrome 129.0.0.0,,,04-10-2024 08:40:58,04-10-2024 08:40:59,0.520s,PASSED
closeBrowser(),Chrome 129.0.0.0,,,04-10-2024 08:40:59,04-10-2024 08:40:59,0.102s,PASSED
,,,,,,,
Test Cases/Excel,Chrome 129.0.0.0,,,04-10-2024 08:40:59,04-10-2024 08:41:12,13.463s,PASSED
"openBrowser("""")",Chrome 129.0.0.0,,,04-10-2024 08:40:59,04-10-2024 08:40:59,0.697s,PASSED
