Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TutorialPoint,Chrome 129.0.0.0,,,04-10-2024 11:18:31,04-10-2024 11:18:53,22.907s,PASSED
,,,,,,,
Test Cases/TutorialPoint,Chrome 129.0.0.0,,,04-10-2024 11:18:31,04-10-2024 11:18:39,8.448s,PASSED
"openBrowser("""")",Chrome 129.0.0.0,,,04-10-2024 11:18:31,04-10-2024 11:18:32,1.362s,PASSED
"navigateToUrl(""https://www.tutorialspoint.com/selenium/practice/register.php"")",Chrome 129.0.0.0,,,04-10-2024 11:18:32,04-10-2024 11:18:33,1.266s,PASSED
"click(findTestObject(""Object Repository/Page_Selenium Practice - Register/input_First Name_firstname""))",Chrome 129.0.0.0,,,04-10-2024 11:18:33,04-10-2024 11:18:34,0.874s,PASSED
"setText(findTestObject(""Object Repository/Page_Selenium Practice - Register/input_First Name_firstname""), firstname)",Chrome 129.0.0.0,,,04-10-2024 11:18:34,04-10-2024 11:18:35,0.720s,PASSED
"click(findTestObject(""Object Repository/Page_Selenium Practice - Register/input_Last Name_lastname""))",Chrome 129.0.0.0,,,04-10-2024 11:18:35,04-10-2024 11:18:35,0.285s,PASSED
"setText(findTestObject(""Object Repository/Page_Selenium Practice - Register/input_Last Name_lastname""), lastname)",Chrome 129.0.0.0,,,04-10-2024 11:18:35,04-10-2024 11:18:36,0.746s,PASSED
"click(findTestObject(""Object Repository/Page_Selenium Practice - Register/input_UserName_username""))",Chrome 129.0.0.0,,,04-10-2024 11:18:36,04-10-2024 11:18:37,0.411s,PASSED
"setText(findTestObject(""Object Repository/Page_Selenium Practice - Register/input_UserName_username""), username)",Chrome 129.0.0.0,,,04-10-2024 11:18:37,04-10-2024 11:18:37,0.770s,PASSED
"setText(findTestObject(""Object Repository/Page_Selenium Practice - Register/input_Password_password""), pass)",Chrome 129.0.0.0,,,04-10-2024 11:18:37,04-10-2024 11:18:38,0.890s,PASSED
"click(findTestObject(""Object Repository/Page_Selenium Practice - Register/input_Password_btn btn-primary""))",Chrome 129.0.0.0,,,04-10-2024 11:18:38,04-10-2024 11:18:39,0.863s,PASSED
closeBrowser(),Chrome 129.0.0.0,,,04-10-2024 11:18:39,04-10-2024 11:18:39,0.120s,PASSED
,,,,,,,
Test Cases/TutorialPoint,Chrome 129.0.0.0,,,04-10-2024 11:18:39,04-10-2024 11:18:47,7.555s,PASSED
